field,q,n,k,rho,domain,has_open_band,J,r_E,cap,UD,e,delta,delta_minus_J,delta_minus_rE,delta_minus_cap,max_list,max_family,johnson_const_bound,elias_volume_exp,elias_volume_pred
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,8,0.533333,0.049731,0.002953,-0.2,4,nearcw,,0.03678,4.6171
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,9,0.6,0.116398,0.06962,-0.133333,25,deephole,,0.09544,52.9396
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,10,0.666667,0.183064,0.136286,-0.066667,168,deephole,,0.14739,459.3161
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,11,0.733333,0.249731,0.202953,-0.0,1365,deephole,,0.19209,2947.7688
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,12,0.8,0.316398,0.26962,0.066667,4501,nearcw,,0.22853,13415.4569
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,13,0.866667,0.383064,0.336286,0.133333,16415,deephole,,0.25479,39986.3601
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,1,0.125,-0.167893,-0.141048,-0.375,1,kambire,5.956,-0.24469,0.0039
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,2,0.25,-0.042893,-0.016048,-0.25,1,kambire,23.314,-0.05687,0.2755
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,3,0.375,0.082107,0.108952,-0.125,5,nearcw,,0.10048,9.7515
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,4,0.5,0.207107,0.233952,0.0,70,deephole,,0.23395,200.8742
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,5,0.625,0.332107,0.358952,0.125,897,kambire,,0.34513,2496.3779
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,6,0.75,0.457107,0.483952,0.25,6398,deephole,,0.43243,18058.2896
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,1,0.125,-0.167893,-0.141048,-0.375,0,,5.956,-0.24469,0.0039
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,2,0.25,-0.042893,-0.016048,-0.25,1,nearcw,23.314,-0.05687,0.2755
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,3,0.375,0.082107,0.108952,-0.125,6,kambire,,0.10048,9.7515
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,4,0.5,0.207107,0.233952,0.0,70,deephole,,0.23395,200.8742
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,5,0.625,0.332107,0.358952,0.125,786,nearcw,,0.34513,2496.3779
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,6,0.75,0.457107,0.483952,0.25,6398,deephole,,0.43243,18058.2896
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,6,0.4,-0.234852,-0.395947,-0.466667,1,nearcw,15.968,-0.34558,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,7,0.466667,-0.168185,-0.32928,-0.4,1,nearcw,22.297,-0.27573,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,8,0.533333,-0.101518,-0.262614,-0.333333,2,maxcluster,36.939,-0.20911,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,9,0.6,-0.034852,-0.195947,-0.266667,2,maxcluster,107.599,-0.14572,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,10,0.666667,0.031815,-0.12928,-0.2,2,maxcluster,,-0.08568,0.0008
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,11,0.733333,0.098482,-0.062614,-0.133333,15,deephole,,-0.02927,0.0876
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,12,0.8,0.165148,0.004053,-0.066667,35,deephole,,0.02301,6.7794
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,13,0.866667,0.231815,0.07072,0.0,105,deephole,,0.0702,343.5169
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,14,0.933333,0.298482,0.137386,0.066667,3785,deephole,,0.11018,9550.3517
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,6,0.4,-0.234852,-0.395947,-0.466667,1,nearcw,15.968,-0.34558,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,7,0.466667,-0.168185,-0.32928,-0.4,1,nearcw,22.297,-0.27573,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,8,0.533333,-0.101518,-0.262614,-0.333333,2,maxcluster,36.939,-0.20911,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,9,0.6,-0.034852,-0.195947,-0.266667,2,maxcluster,107.599,-0.14572,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,10,0.666667,0.031815,-0.12928,-0.2,2,maxcluster,,-0.08568,0.0008
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,11,0.733333,0.098482,-0.062614,-0.133333,2,maxcluster,,-0.02927,0.0876
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,12,0.8,0.165148,0.004053,-0.066667,5,nearcw,,0.02301,6.7794
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,13,0.866667,0.231815,0.07072,0.0,105,deephole,,0.0702,343.5169
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,14,0.933333,0.298482,0.137386,0.066667,3782,nearcw,,0.11018,9550.3517
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,7,0.411765,-0.245238,-0.405351,-0.470588,1,nearcw,17.33,-0.3487,0.0
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,8,0.470588,-0.186415,-0.346528,-0.411765,1,nearcw,22.799,-0.28741,0.0
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,9,0.529412,-0.127591,-0.287704,-0.352941,2,maxcluster,33.31,-0.22863,0.0
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,10,0.588235,-0.068768,-0.228881,-0.294118,2,maxcluster,61.802,-0.17236,0.0
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,11,0.647059,-0.009944,-0.170057,-0.235294,2,maxcluster,427.393,-0.11867,0.0
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,12,0.705882,0.04888,-0.111234,-0.176471,2,maxcluster,,-0.06772,0.0017
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,13,0.764706,0.107703,-0.05241,-0.117647,2,nearcw,,-0.0198,0.1547
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,14,0.823529,0.166527,0.006413,-0.058824,7,random,,0.02463,10.1962
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,15,0.882353,0.22535,0.065237,0.0,136,deephole,,0.0647,445.3547
GF(2^8),256,17,2,0.1176,smooth,True,0.657,0.8171,0.8824,0.4706,16,0.941176,0.284174,0.12406,0.058824,4273,nearcw,,0.0985,10783.3909
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,7,0.411765,-0.245238,-0.405351,-0.470588,1,nearcw,17.33,-0.3487,0.0
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,8,0.470588,-0.186415,-0.346528,-0.411765,1,nearcw,22.799,-0.28741,0.0
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,9,0.529412,-0.127591,-0.287704,-0.352941,2,maxcluster,33.31,-0.22863,0.0
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,10,0.588235,-0.068768,-0.228881,-0.294118,2,maxcluster,61.802,-0.17236,0.0
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,11,0.647059,-0.009944,-0.170057,-0.235294,2,maxcluster,427.393,-0.11867,0.0
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,12,0.705882,0.04888,-0.111234,-0.176471,2,maxcluster,,-0.06772,0.0017
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,13,0.764706,0.107703,-0.05241,-0.117647,4,kambire,,-0.0198,0.1547
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,14,0.823529,0.166527,0.006413,-0.058824,17,kambire,,0.02463,10.1962
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,15,0.882353,0.22535,0.065237,0.0,136,deephole,,0.0647,445.3547
GF(2^8),256,17,2,0.1176,random_domain,True,0.657,0.8171,0.8824,0.4706,16,0.941176,0.284174,0.12406,0.058824,4274,nearcw,,0.0985,10783.3909
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,5,0.3125,-0.1875,-0.24437,-0.4375,1,kambire,10.667,-0.22497,0.0
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,6,0.375,-0.125,-0.18187,-0.375,1,kambire,16.0,-0.14952,0.0011
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,7,0.4375,-0.0625,-0.11937,-0.3125,2,maxcluster,32.0,-0.07998,0.0266
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,8,0.5,0.0,-0.05687,-0.25,2,kambire,,-0.01605,0.4831
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,9,0.5625,0.0625,0.00563,-0.1875,4,nearcw,,0.04235,6.8194
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,10,0.625,0.125,0.06813,-0.125,32,deephole,,0.09513,74.6148
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,11,0.6875,0.1875,0.13063,-0.0625,256,deephole,,0.14201,624.7164
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,12,0.75,0.25,0.19313,0.0,1820,deephole,,0.18243,3904.4291
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,13,0.8125,0.3125,0.25563,0.0625,8961,kambire,,0.21544,17436.7322
GF(17),17,16,4,0.25,smooth,False,0.5,0.5569,0.75,0.4062,14,0.875,0.375,0.31813,0.125,21100,deephole,,0.23926,51328.6607
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,5,0.3125,-0.1875,-0.24437,-0.4375,1,kambire,10.667,-0.22497,0.0
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,6,0.375,-0.125,-0.18187,-0.375,1,kambire,16.0,-0.14952,0.0011
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,7,0.4375,-0.0625,-0.11937,-0.3125,2,maxcluster,32.0,-0.07998,0.0266
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,8,0.5,0.0,-0.05687,-0.25,2,kambire,,-0.01605,0.4831
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,9,0.5625,0.0625,0.00563,-0.1875,5,random,,0.04235,6.8194
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,10,0.625,0.125,0.06813,-0.125,32,deephole,,0.09513,74.6148
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,11,0.6875,0.1875,0.13063,-0.0625,256,deephole,,0.14201,624.7164
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,12,0.75,0.25,0.19313,0.0,1820,deephole,,0.18243,3904.4291
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,13,0.8125,0.3125,0.25563,0.0625,8961,kambire,,0.21544,17436.7322
GF(17),17,16,4,0.25,random_domain,False,0.5,0.5569,0.75,0.4062,14,0.875,0.375,0.31813,0.125,21100,deephole,,0.23926,51328.6607
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,2,0.222222,-0.111111,-0.108186,-0.333333,0,,10.125,-0.15751,0.0154
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,3,0.333333,-0.0,0.002925,-0.222222,3,deephole,,-0.01217,0.7244
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,4,0.444444,0.111111,0.114036,-0.111111,10,random,,0.11404,20.5312
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,5,0.555556,0.222222,0.225147,0.0,126,deephole,,0.22311,369.5618
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,6,0.666667,0.333333,0.336258,0.111111,1296,deephole,,0.31504,4224.5295
GF(19),19,9,4,0.4444,smooth,False,0.3333,0.3304,0.5556,0.3333,7,0.777778,0.444444,0.447369,0.222222,10182,deephole,,0.38784,29078.7574
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,2,0.222222,-0.111111,-0.108186,-0.333333,1,nearcw,10.125,-0.15751,0.0154
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,3,0.333333,-0.0,0.002925,-0.222222,1,kambire,,-0.01217,0.7244
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,4,0.444444,0.111111,0.114036,-0.111111,10,random,,0.11404,20.5312
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,5,0.555556,0.222222,0.225147,0.0,126,deephole,,0.22311,369.5618
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,6,0.666667,0.333333,0.336258,0.111111,1307,nearcw,,0.31504,4224.5295
GF(19),19,9,4,0.4444,random_domain,False,0.3333,0.3304,0.5556,0.3333,7,0.777778,0.444444,0.447369,0.222222,10182,deephole,,0.38784,29078.7574
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,2,0.2,-0.092893,-0.030809,-0.3,1,random,10.765,-0.09927,0.0925
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,3,0.3,0.007107,0.069191,-0.2,2,nearcw,,0.04283,2.7925
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,4,0.4,0.107107,0.169191,-0.1,20,deephole,,0.16477,51.9863
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,5,0.5,0.207107,0.269191,0.0,252,deephole,,0.26919,635.8234
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,6,0.6,0.307107,0.369191,0.1,1537,random,,0.35682,5198.6324
GF(11),11,10,5,0.5,smooth,False,0.2929,0.2308,0.5,0.3,7,0.7,0.407107,0.469191,0.2,9102,deephole,,0.42693,27924.5723
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,2,0.2,-0.092893,-0.030809,-0.3,1,random,10.765,-0.09927,0.0925
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,3,0.3,0.007107,0.069191,-0.2,2,nearcw,,0.04283,2.7925
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,4,0.4,0.107107,0.169191,-0.1,20,deephole,,0.16477,51.9863
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,5,0.5,0.207107,0.269191,0.0,252,deephole,,0.26919,635.8234
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,6,0.6,0.307107,0.369191,0.1,1537,random,,0.35682,5198.6324
GF(11),11,10,5,0.5,random_domain,False,0.2929,0.2308,0.5,0.3,7,0.7,0.407107,0.469191,0.2,9102,deephole,,0.42693,27924.5723
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,8,0.380952,-0.241083,-0.368046,-0.47619,1,nearcw,14.518,-0.30189,0.0
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,9,0.428571,-0.193464,-0.320426,-0.428571,1,nearcw,18.091,-0.24969,0.0
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,10,0.47619,-0.145845,-0.272807,-0.380952,2,maxcluster,23.998,-0.19994,0.0
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,11,0.52381,-0.098226,-0.225188,-0.333333,2,maxcluster,35.632,-0.15262,0.0
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,12,0.571429,-0.050607,-0.177569,-0.285714,2,maxcluster,69.16,-0.10772,0.0002
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,13,0.619048,-0.002988,-0.12995,-0.238095,2,maxcluster,1171.388,-0.06529,0.0058
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,14,0.666667,0.044631,-0.082331,-0.190476,3,kambire,,-0.02542,0.1343
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,15,0.714286,0.09225,-0.034712,-0.142857,3,kambire,,0.01174,2.5272
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,16,0.761905,0.139869,0.012907,-0.095238,21,kambire,,0.04593,37.6177
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,17,0.809524,0.187488,0.060526,-0.047619,147,deephole,,0.07677,430.0701
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,18,0.857143,0.235107,0.108145,-0.0,1330,deephole,,0.10368,3600.7367
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,19,0.904762,0.282726,0.155764,0.047619,7326,nearcw,,0.12557,20301.6388
GF(43),43,21,3,0.1429,smooth,True,0.622,0.749,0.8571,0.4524,20,0.952381,0.330345,0.203383,0.095238,31129,deephole,,0.14018,64351.531
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,8,0.380952,-0.241083,-0.368046,-0.47619,1,nearcw,14.518,-0.30189,0.0
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,9,0.428571,-0.193464,-0.320426,-0.428571,1,nearcw,18.091,-0.24969,0.0
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,10,0.47619,-0.145845,-0.272807,-0.380952,1,nearcw,23.998,-0.19994,0.0
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,11,0.52381,-0.098226,-0.225188,-0.333333,2,maxcluster,35.632,-0.15262,0.0
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,12,0.571429,-0.050607,-0.177569,-0.285714,2,maxcluster,69.16,-0.10772,0.0002
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,13,0.619048,-0.002988,-0.12995,-0.238095,2,maxcluster,1171.388,-0.06529,0.0058
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,14,0.666667,0.044631,-0.082331,-0.190476,2,nearcw,,-0.02542,0.1343
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,15,0.714286,0.09225,-0.034712,-0.142857,4,kambire,,0.01174,2.5272
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,16,0.761905,0.139869,0.012907,-0.095238,14,random,,0.04593,37.6177
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,17,0.809524,0.187488,0.060526,-0.047619,143,deephole,,0.07677,430.0701
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,18,0.857143,0.235107,0.108145,-0.0,1330,deephole,,0.10368,3600.7367
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,19,0.904762,0.282726,0.155764,0.047619,7334,nearcw,,0.12557,20301.6388
GF(43),43,21,3,0.1429,random_domain,True,0.622,0.749,0.8571,0.4524,20,0.952381,0.330345,0.203383,0.095238,31129,deephole,,0.14018,64351.531
GF(19),19,18,4,0.2222,smooth,False,0.5286,0.602,0.7778,0.4167,6,0.333333,-0.195262,-0.268624,-0.444444,1,nearcw,11.523,-0.23439,0.0
GF(19),19,18,4,0.2222,smooth,False,0.5286,0.602,0.7778,0.4167,7,0.388889,-0.139707,-0.213069,-0.388889,1,nearcw,16.105,-0.16908,0.0001
GF(19),19,18,4,0.2222,smooth,False,0.5286,0.602,0.7778,0.4167,8,0.444444,-0.084151,-0.157513,-0.333333,2,maxcluster,26.738,-0.10819,0.0032
GF(19),19,18,4,0.2222,smooth,False,0.5286,0.602,0.7778,0.4167,9,0.5,-0.028595,-0.101958,-0.277778,2,kambire,78.684,-0.05155,0.0651
GF(19),19,18,4,0.2222,smooth,False,0.5286,0.602,0.7778,0.4167,10,0.555556,0.02696,-0.046402,-0.222222,2,kambire,,0.00088,1.048
